artist,track,week,rank
Artist_103,Song_1206,week_27,43
Artist_436,Song_1037,week_07,2
Artist_349,Song_1363,week_44,97
Artist_271,Song_1821,week_42,75
Artist_107,Song_1283,week_29,98
Artist_72,Song_90,week_31,80
Artist_189,Song_616,week_44,54
Artist_21,Song_891,week_43,35
Artist_103,Song_698,week_36,52
Artist_122,Song_1274,week_19,33
Artist_467,Song_1279,week_06,85
Artist_215,Song_1612,week_25,84
Artist_331,Song_898,week_31,72
Artist_459,Song_971,week_09,51
Artist_88,Song_1132,week_20,26
Artist_373,Song_668,week_10,97
Artist_100,Song_594,week_37,62
Artist_360,Song_589,week_27,61
Artist_152,Song_485,week_13,26
Artist_131,Song_982,week_41,37
Artist_150,Song_972,week_02,30
Artist_309,Song_1282,week_50,95
Artist_258,Song_639,week_21,97
Artist_344,Song_997,week_33,11
Artist_492,Song_1927,week_24,53
Artist_414,Song_282,week_44,41
Artist_294,Song_986,week_42,5
Artist_386,Song_1112,week_34,66
Artist_192,Song_1228,week_09,13
Artist_444,Song_16,week_02,63
Artist_277,Song_1175,week_30, 82 
Artist_161,Song_936,week_22,90
Artist_460,Song_254,week_46,25
Artist_314,Song_1212,week_11,44
Artist_22,Song_329,week_43,14
Artist_253,Song_544,week_17,69
Artist_236,Song_783,week_36,59
Artist_345,Song_997,week_13,56
Artist_49,Song_1421,week_07,52
Artist_475,Song_1541,week_16,66
Artist_59,Song_1483,week_33,68
Artist_170,Song_1354,week_45,12
Artist_476,Song_1844,week_01,75
Artist_188,Song_845,week_11,68
Artist_464,Song_1193,week_06,43
Artist_271,Song_1717,week_20,73
Artist_190,Song_366,week_35,74
Artist_446,Song_1202,week_44,91
Artist_175,Song_655,week_37,6
Artist_446,Song_1386,week_41,15
Artist_51,Song_760,week_26,42
Artist_364,Song_639,week_12,31
Artist_55,Song_1799,week_30,86
Artist_244,Song_1064,week_28,53
Artist_320,Song_924,week_27,6
Artist_131,Song_416,week_42,33
Artist_485,Song_1379,week_19,29
Artist_307,Song_255,week_05,21
Artist_135,Song_1167,week_05,54
Artist_21,Song_1776,week_41,56
Artist_329,Song_1764,week_27,94
Artist_167,Song_1877,week_28,21
Artist_274,Song_710,week_26,100
Artist_388,Song_577,week_27,55
Artist_89,Song_900,week_52,58
Artist_316,Song_11,week_49,64
Artist_14,Song_1644,week_42,86
Artist_242,Song_26,week_21,46
Artist_265,Song_957,week_01,84
Artist_346,Song_421,week_28,22
Artist_53,Song_1687,week_48,60
Artist_386,Song_1245,week_15,11
Artist_340,Song_1877,week_17,
Artist_92,Song_496,week_26,31
Artist_367,Song_1261,week_20,77
Artist_444,Song_237,week_25,18
Artist_455,Song_1009,week_13,22
Artist_428,Song_219,week_33,56
Artist_264,Song_1511,week_25,17
Artist_431,Song_1960,week_08,38
Artist_35,Song_461,week_05,25
Artist_206,Song_663,week_06,32
Artist_81,Song_635,week_23,15
Artist_420,Song_1168,week_52,13
Artist_50,Song_990,week_30,58
