religion, <$10k, $10-20k,$20-30k,$30-40k, $40-50k,$50-75k
Agnostic,,N/A,,81.0,76.0,
Atheist,,27.0,37.0,52.0,35.0,70.0
Buddhist,27.0,21.0,30.0,34.0,33.0,58.0
 Catholic  ,418.0,617.0,732.0,,638.0,1116.0
 Dont know/refused  ,,14.0,15.0,11.0,10.0,35.0
Evangelical Prot ,575.0,869.0,1064.0,982.0,881.0,1486.0
Hindu ,1.0,9.0,7.0,9.0,,34.0
Historically Black Prot ,228.0,244.0,,238.0,197.0,223.0
 Jehovahs Witness   ,20.0,27.0,24.0,,21.0,30.0
Jewish ,19.0,19.0,25.0,25.0,,95.0
 Catholic  ,418.0,617.0,732.0,,638.0,1116.0
